rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
Keranadu Kitchen,3.2,Pro extra 15% OFF,50% OFF,,"Kerala, Biryani, North Indian, Beverages",₹100 for one,550+ orders placed from here recently
Arihant Multi Cusine Foods,-,,,,"North Indian, South Indian, Chinese, Beverages, Shake",₹100 for one,
Sri Pandiyan Biriyani Centre,3.8,,20% OFF,,"Andhra, Biryani, Chinese",₹100 for one,75+ orders placed from here recently
Bird On Tree,3.7,,Flat 15% OFF,,"Continental, Chinese, Thai, Malaysian, North Indian, Shake",₹100 for one,175+ orders placed from here recently
Dappaakaaraar's Momos Factory,4.3,,,,Momos,₹100 for one,
Mumbai Kulfi,-,,,,"Ice Cream, Beverages, Desserts",₹100 for one,75+ orders placed from here recently
KR Bakes,-,,,,"Chinese, Biryani, North Indian",₹100 for one,
Sree Annapoorna Sweets & Snacks,-,,,,"Mithai, Street Food, Desserts",₹100 for one,Follows all Max Safety measures to ensure your food is safe
PM Biryani,-,,10% OFF,,"Biryani, Chinese",₹100 for one,
Boys Biryani,4.5,,,,"Biryani, Chinese",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Apteat,3.4,,40% OFF,,"Biryani, Fast Food",₹100 for one,50+ orders placed from here recently
Dood's Burger,3.2,,50% OFF,,"Fast Food, Sandwich, Italian, BBQ, Lebanese, Mexican, Desserts, Beverages",₹100 for one,175+ orders placed from here recently
Pr Bakes,3.4,,,,"Bakery, Fast Food, Chinese, Beverages",₹100 for one,125+ orders placed from here recently
Quality Crispy Chicken,4.0,,20% OFF,,"American, Fast Food, Shake",₹100 for one,75+ orders placed from here recently
Ungal Jigar Thanda,4.4,,,,Beverages,₹100 for one,
Hotel Shree Annambigaa,3.8,,30% OFF,,"Chettinad, South Indian, Chinese, Beverages, Shake",₹100 for one,
Zwarma,4.1,Pro extra 25% OFF,60% OFF,,"Lebanese, BBQ",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Burmese Treats,3.8,,30% OFF,,"Burmese, Chinese, Kerala, Fast Food",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Juices And Cafe,4.1,,20% OFF,,"Beverages, Shake",₹100 for one,75+ orders placed from here recently
Nanu's Hotel,3.2,,20% OFF,,"South Indian, North Indian",₹100 for one,
Madurai Jigarthanda Factory,4.0,,,,Beverages,₹100 for one,
Night Food Coimbatore,3.6,,40% OFF,,"Biryani, South Indian",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Chills & Fries,4.3,,Flat 30% OFF,,"Fast Food, Shake",₹100 for one,75+ orders placed from here recently
Rollz,2.7,,20% OFF,,"Desserts, Ice Cream, Fast Food, Street Food",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Little Owl's Cafe,-,,,,"Fast Food, Desserts, Beverages, Shake",₹100 for one,
Zwarma,3.9,,20% OFF,,"Lebanese, BBQ",₹100 for one,75+ orders placed from here recently
A.R.C Sasi's Chat & More,4.0,,,,Fast Food,₹100 for one,300+ orders placed from here recently
